id,date,winner,loser,elo_winner,elo_loser,first_hand,conceded,record
207566172,2021-10-08 21:13:00,Lorenzo93,funerie,422,1,funerie,False,r4y2r4y2r2y3r2y5r3y3r3y5r3y5r5y3r1y4r2y1r2y1r1y3r3y3r3y3r3y1r5y1r4y5r2y5r2y1r4y5r4y5r4y1r4y1r1y1r5y4r5y4r5y4r4y4r4y4r1y4r5y4r5y1
207567501,2021-10-08 21:07:00,Lorenzo93,funerie,420,1,Lorenzo93,False,r3y2r5y5r5y2r2y4r5y4r5y5r2y1r3y2r3y3r2y5r5y2r2y2r2y3r2y2r2y1r2y3r2y2r3y3r4y2r4y3r4y4r4y3r4y4r3y2r4y1r5y3r5y4r4y4r3y1r4y5r3y1r3
207520205,2021-10-08 17:05:00,MCLERG02,gradamical,31,1,gradamical,False,r1y1r2y1r3y1r3y1r3y2r2y2r3y2r3y2r2y1r5y2r3y2r2y2r5y2r2y2r1y2r5y2r4y3r2y1r2y1r2y1r1y1r5y1r5y1r5y3r4y3r5y3r1y3r4y3r4y3r4y4r1y4r1y4r1y4r1y4r4y4r1y4r1y4
207514336,2021-10-08 15:59:00,mad rid,Lthlorien,750,125,mad rid,False,r1y4r3y4r5y5r5y5r5y5r5y5r5y5r5y5r2y5r2y5r2y1r1y1r3y1r3y4r2y2r1y3r1y3r4y1r4y1r4y1r2y1r2y1r1y4r2y2r1y3r1y2r1y2r2y4r1y2r1y2r3y3r4y3r1y2r5y4r2y4r1y4r3y4r3y4r3y4r5y2r1
207512955,2021-10-08 15:47:00,Lthlorien,NCDM,126,145,Lthlorien,False,r5y4r5y4r5y4r5y5r4y5r3y3r2y2r2y2r3y2r3y2r2y2r2y2r2y3r4y1r4y1r4y1r2y1r2y1r2y4r1y1r1y1r2y2r2y1r2y3r1y4r4y4r4y4r4y4r4y5r1y2r1y3r1y3r1y5r1y5r3y4r3y3r3y3r3
207519874,2021-10-08 15:40:00,Lthlorien,NCDM,103,157,Lthlorien,False,r5y4r5y4r5y4r5y5r4y2r3y5r3y4r3y4r4y2r4y2r4y4r3y2r4y2r4y2r4y4r4y4r2y4r2y4r2y4r3y5r3y5r5y5r5y5r5y5r5y4r2y3r5y3r5y2r5y2r5y4r1y2r1y4r1y3r2y3r1y1r1y1r1y1r1y1r5y3r2y3r2y3r1y1r2
207497929,2021-10-08 15:21:00,mad rid,mikipe2,750,148,mad rid,False,r1y4r3y1r1y4r5y1r5y1r5y4r3y5r5y4r5y4r3y1r4y3r5y3r4y3r3y3r4y5r3y2r1y3r1y1r5y5r5y1r1y4r5y4r5y5r4y5r4y5r4y5r5y4r5y4r5y4r2y4r4y2r1y2r2y2r2y4r1y4r1y2r3y4r2y4r3y4r4y2r4y4r4y4r3y4r5y4r1y4r1y2r1y4r5
207502278,2021-10-08 14:46:00,Lthlorien,Vikaja,78,1,Vikaja,False,y4r5y5r5y4r5y4r4y2r3y1r3y4r5y4r5y3r2y5r5y5r4y4r4y4r4y1r4y1r4y2r2y4r1y4r2y3r2y3r2y3r2y3r2y3r2y3r2y2r5y5r1y5r5y1r1y2r1y2r1y2r1y4r1y4r3y4r3y4r3y2r3
207491805,2021-10-08 12:32:00,eguar27,Chrilona,473,155,Chrilona,False,r1y1r2y2r1y2r3y4r5y4r5y5r3y4r5y4r4y3r4y4r5y5r4y4r4y4r2y4r4y4r2y4r4y4r3y5r3y4r3y4r4y4r4y4r5y5r5y4r5y4r5y1r1y1r2y1r2y1r2y3r2y1r2y1r2y3r2y5r5y5r5y5r5y5r5y4r5y5r5y2r1y2r1y4r1y2r1y1r2y2r2y2r2y2r1y1r1y2r1y1r5y3r5y3r1y3r5y3r1y3
207498734,2021-10-08 12:22:00,eguar27,Chrilona,471,158,eguar27,False,y2r1y2r2y4r3y4r5y4r5y4r5y5r3y1r3y5r2y2r3y2r1y2r1y2r4y2r4y5r4y2r3y2r3y2r1y2r5y2r2y2r2y2r4y4r2y4r2y4r2y1r1y1r1y1r1y3r1y3r1y4r4y1r5y5r1y2r5y1r4y3r4y1r5y1r5y1r5y5r5y4r5y4r5y4r1y1r1y5r1y5r1y3r4y4r4y3r1y3r4y3r5y3r5y3r5y5r1y2r1y3r1y5
207386208,2021-10-08 11:34:00,scninmer08,mikipe2,198,149,scninmer08,False,r1y4r3y4r2y3r2y3r5y3r5y2r1y2r2y5r4y2r3y2r4y2r5y3r3y2r4y2r4y3r2y4r2y4r2y4r3y4r1y5r2y4r1y3r5y3r1y2r1y3r3y5r5y4r4y4r5y5r2y5r2y5r4y1r1y1r4y1r4y1r1y2r2y1r2y5r3y5r1y5r1y5r1y5r1y4r5y4r3y4r5y4r5y4r5y4r3y5r2y5r2
207481287,2021-10-08 11:31:00,mad rid,kaomojisan,749,113,mad rid,False,y1r1y4r1y2r1y2r1y2r5y4r4y2r1y2r1y2r4y1r4y2r5y1r5y2r4y4r4y4r5y4r5y4r1y3r2y1r4y5r4y1r4y5r2y5r2y5r2y5r2y5r2y5r2y3r1y3r1y3r1y4r5y3r5y2r5y5r5y2r5y3r5y3r5y2r5y4
207462841,2021-10-08 07:39:00,MyxoMop777,Lthlorien,154,62,MyxoMop777,False,y4r5y4r5y4r5y4r4y5r3y2r3y3r2y3r3y3r2y4r5y4r5y2r2y2r2y2r4y3r5y2r4y2r4y2r2y2r2y2r1y2r3y5r4y5r1y5r1y4r3y5r5y5r4y1r4y1r2y1r2y1r3y3r3y1r4y1r4y1r4y1r1y4r1y3r1y3r1y2r1y2
207461660,2021-10-08 07:36:00,unununium,Loire Wren,86,1,Loire Wren,False,r3y2r5y1r5y1r1y2r3y2r3y4r1y4r4y1r4y1r4y1r4y2r5y2r4y2r5y5r3y4r5y4r5y4r1y3r2y1r2y3r3y3r5y4r2y2r2y3r4y3r5y3r5y3r4y3r2y5r3y4r3y4r4y5r4y5r4y3r3y2r3y3r2y5r2y2r3y5r4y5r4y3r4y5r4y5r3y5r1y1r1y5r1y5
207464930,2021-10-08 07:30:00,mad rid,Lthlorien,749,62,Lthlorien,False,y4r1y4r3y4r3y4r5y4r5y4r5y4r4y5r2y5r2y4r5y3r5y3r4y3r4y4r2y1r1y1r4y1r4y1r4y2r1y2r1y2r2y3r2y3r2y3r2y4r2y4r2y2r1y2r2y4r4y1r1y1r5y1r3y2r3y5r3y5r3y5r3y5r3y1r3y1r3y4r3y4r1y4r5
